,Season,Player,G,MP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
25,2000,Edna Campbell,16,510,16,84,215,0.391,13,49,0.265,71,166,.428,41,58,.707,8,34,37,19,4,40,35,222
26,2000,Michelle Campbell,5,22,0,2,5,0.4,0,0,,2,5,.400,2,2,1.000,0,2,1,0,1,3,2,6
27,2000,Dominique Canty,28,784,27,83,203,0.409,0,5,0.0,83,198,.419,91,131,.695,31,70,82,49,5,51,64,257
28,2000,Jamie Cassidy,22,175,0,20,55,0.364,4,8,0.5,16,47,.340,30,43,.698,7,23,9,5,2,13,17,74
29,2000,Michelle Cleary,24,509,7,14,45,0.311,10,30,0.333,4,15,.267,19,27,.704,12,37,77,34,2,14,36,59
30,2000,Stacy Clinesmith,26,285,2,20,57,0.351,12,41,0.293,8,16,.500,14,17,.824,7,30,49,12,1,25,19,66
31,2000,Katrina Colleton,32,873,32,103,293,0.352,5,21,0.238,98,272,.360,53,70,.757,15,63,50,27,7,65,65,264
32,2000,Cynthia Cooper,31,1085,31,180,392,0.459,43,121,0.355,137,271,.506,147,168,.875,17,85,156,39,6,99,61,550
33,2000,Sylvia Crawley,31,930,30,143,298,0.48,0,2,0.0,143,296,.483,71,102,.696,64,185,34,29,24,88,96,357
34,2000,Beth Cunningham,21,198,0,17,68,0.25,9,37,0.243,8,31,.258,16,19,.842,4,21,12,2,0,12,23,59
35,2000,Grace Daley,30,577,4,57,147,0.388,17,56,0.304,40,91,.440,42,65,.646,32,72,57,12,0,50,49,173
36,2000,Helen Darling,32,556,0,47,150,0.313,13,38,0.342,34,112,.304,48,65,.738,24,63,65,37,5,67,52,155
37,2000,Anna DeForge,27,433,10,51,126,0.405,18,56,0.321,33,70,.471,25,32,.781,9,47,47,27,4,33,34,145
38,2000,Keitha Dickerson,32,791,29,54,142,0.38,0,2,0.0,54,140,.386,34,45,.756,31,141,59,37,2,70,107,142
39,2000,Tamecka Dixon,31,882,31,132,291,0.454,12,34,0.353,120,257,.467,62,77,.805,34,105,96,40,10,60,86,338
